作品,さくひん
作物,さくぶつ,さくもつ
桜,さくら,サクラ
酒,さけ,ささ,しゅ,さか
叫ぶ,さけぶ
避ける,さける,よける
支える,ささえる,つかえる,つっかえる
指す,さす
座席,ざせき
誘う,さそう,いざなう
札,さつ,ふだ,ふみた,ふんだ,さね
作家,さっか
作曲,さっきょく
砂漠,さばく
差別,さべつ,しゃべつ,しゃべち
作法,さほう,さくほう
様々,さまざま,さまさま
覚ます,さます
覚める,さめる
左右,さゆう,そう,とかく
皿,さら
更に,さらに
去る,さる
猿,さる,サル,ましら
騒ぎ,さわぎ
参加,さんか
参考,さんこう
賛成,さんせい
酸素,さんそ
散歩,さんぽ
四,し,よん,よ,スー
氏,うじ,し
詩,うた,し
幸せ,しあわせ,しやわせ
ジェット機,ジェットき
直に,じかに,じきに
叱る,しかる
式,しき
直,なお,ひた,じき,ちょく,あたい,あたえ,じか,ただ,ね
時期,じき
支給,しきゅう
刺激,しげき
資源,しげん
事件,じけん
時刻,じこく
自殺,じさつ
事実,じじつ
支出,ししゅつ
事情,じじょう
詩人,しじん
自身,じしん
沈む,しずむ
自然,しぜん,じねん
思想,しそう
舌,した
次第,しだい
事態,じたい
従う,したがう
支度,したく
親しい,したしい,ちかしい
七,しち,なな,なあ,ひち,な,チー
質,しつ,たち,タチ,しち
失業,しつぎょう
実験,じっけん
実現,じつげん
実行,じっこう
実際,じっさい
実施,じっし
実に,まことに,じつに,げに
実は,じつは
失望,しつぼう
支店,してん
指導,しどう
自動,じどう
品,しな,ほん,ひん
支配,しはい
芝居,しばい
芝生,しばふ
支払,しはらい
支払う,しはらう
死亡,しぼう
資本,しほん
姉妹,しまい,きょうだい
自慢,じまん
事務,じむ
示す,しめす
占める,しめる
霜,しも
借金,しゃっきん
邪魔,じゃま
週,しゅう
州,しゅう,す
十,じゅう,とお,と,シー
銃,じゅう,つつ
周囲,しゅうい
収穫,しゅうかく
週間,しゅうかん
宗教,しゅうきょう
重視,じゅうし
就職,しゅうしょく
修正,しゅうせい
渋滞,じゅうたい
重大,じゅうだい
住宅,じゅうたく
集団,しゅうだん
集中,しゅうちゅう
収入,しゅうにゅう
住民,じゅうみん
重要,じゅうよう
修理,しゅうり,しゅり,すり
主義,しゅぎ
宿泊,しゅくはく
手術,しゅじゅつ,しゅずつ
首相,しゅしょう
手段,しゅだん
主張,しゅちょう
出身,しゅっしん
出席,しゅっせき
出発,しゅっぱつ
出版,しゅっぱん
首都,しゅと
主婦,しゅふ
主要,しゅよう
需要,じゅよう
種類,しゅるい
順,じゅん,ずん
瞬間,しゅんかん
順調,じゅんちょう
順番,じゅんばん
準備,じゅんび
使用,しよう
小,しょう,こ,お,ささ,さざ,ぐゎー,さ
章,しょう
賞,しょう
障害,しょうがい
奨学金,しょうがくきん,しょうがっきん
乗客,じょうきゃく,じょうかく
上京,じょうきょう
状況,じょうきょう
条件,じょうけん
正午,しょうご
正直,しょうじき
常識,じょうしき
少女,しょうじょ,おとめ
少々,しょうしょう
症状,しょうじょう
生じる,しょうじる
招待,しょうたい,しょうだい
状態,じょうたい
上達,じょうたつ
冗談,じょうだん
承知,しょうち
上等,じょうとう
衝突,しょうとつ
商人,しょうにん,あきんど,あきうど,あきゅうど,あきびと
承認,しょうにん
少年,しょうねん
商売,しょうばい
消費,しょうひ
商品,しょうひん
消防,しょうぼう
情報,じょうほう
証明,しょうめい
女王,じょおう,じょうおう,にょおう
職,しょく,そく,しき
職業,しょくぎょう
食事,しょくじ
食卓,しょくたく
食品,しょくひん
植物,しょくぶつ
食物,しょくもつ,くいもの
食欲,しょくよく
食料,しょくりょう
食糧,しょくりょう
書斎,しょさい
女子,じょし,めこ,メコ,おなご
助手,たすけて,すけて,じょしゅ
徐々に,じょじょに
署名,しょめい
書物,しょもつ
女優,じょゆう
処理,しょり
書類,しょるい
知らせ,しらせ
尻,けつ,ケツ,しり
印,いん,しるし
城,しろ,じょう,き
進学,しんがく
神経,しんけい
真剣,しんけん
信仰,しんこう
信号,しんごう
人工,じんこう
深刻,しんこく
診察,しんさつ
人種,じんしゅ
信じる,しんじる
人生,じんせい
親戚,しんせき
新鮮,しんせん
心臓,しんぞう
身体,からだ,しんたい,しんだい,しんてい
身長,しんちょう
慎重,しんちょう
心配,しんぱい
審判,しんぱん,しんばん
人物,じんぶつ
進歩,しんぽ
親友,しんゆう
信用,しんよう
信頼,しんらい
心理,しんり
人類,じんるい
巣,す
図,ず
水準,すいじゅん
推薦,すいせん
随分,ずいぶん
睡眠,すいみん
数字,すうじ
末,うら,うれ,すえ,まつ
姿,すがた
空く,すく,あく
救う,すくう
優れる,すぐれる
少しも,すこしも
過ごす,すごす
筋,すじ,スジ,きん
進める,すすめる
勧める,すすめる
頭痛,ずつう
既に,すでに,すんでに
素晴らしい,すばらしい,すんばらしい
全て,すべて
済ませる,すませる
角,かく,かど,つの,ツノ,すみ,すま
為る,する,なる
鋭い,するどい
背,せい,せ,そびら
正,せい,しょう,まさ
生,き,なま,ウブ,うぶ,せい,しょう,いく,ふ,なまり
性,さが,せい,しょう,なりくせ
所為,しょい,そい,せい,せえ
税,ぜい
性格,せいかく
正確,せいかく
世紀,せいき
請求,せいきゅう
税金,ぜいきん
清潔,せいけつ
制限,せいげん
成功,せいこう
生産,せいさん,せいざん
正式,せいしき
精神,せいしん
成人,せいじん
精々,せいぜい
成績,せいせき
製造,せいぞう
贅沢,ぜいたく
成長,せいちょう
制度,せいど
青年,せいねん
製品,せいひん
政府,せいふ
生物,せいぶつ,なまもの
生命,せいめい
整理,せいり
